ticker,weight,has_column,first_date,last_date,full_history
NVDA,8.020487,True,2010-01-04,2026-05-29,True
AAPL,7.067984,True,2010-01-04,2026-05-29,True
MSFT,4.884476,True,2010-01-04,2026-05-29,True
AMZN,4.123399,True,2010-01-04,2026-05-29,True
GOOGL,3.498988,True,2010-01-04,2026-05-29,True
AVGO,3.115688,True,2010-01-04,2026-05-29,True
GOOG,2.781726,True,2010-01-04,2026-05-29,True
MU,1.601047,True,2010-01-04,2026-05-29,True
LLY,1.375376,True,2010-01-04,2026-05-29,True
BRK-B,1.348526,True,2010-01-04,2026-05-29,True
AMD,1.301567,True,2010-01-04,2026-05-29,True
JPM,1.232349,True,2010-01-04,2026-05-29,True
XOM,0.945961,True,2010-01-04,2026-05-29,True
INTC,0.874794,True,2010-01-04,2026-05-29,True
JNJ,0.856687,True,2010-01-04,2026-05-29,True
V,0.841384,True,2010-01-04,2026-05-29,True
WMT,0.802792,True,2010-01-04,2026-05-29,True
CSCO,0.721923,True,2010-01-04,2026-05-29,True
COST,0.680621,True,2010-01-04,2026-05-29,True
CAT,0.636099,True,2010-01-04,2026-05-29,True
MA,0.61929,True,2010-01-04,2026-05-29,True
LRCX,0.611785,True,2010-01-04,2026-05-29,True
NFLX,0.56155,True,2010-01-04,2026-05-29,True
AMAT,0.549884,True,2010-01-04,2026-05-29,True
UNH,0.533819,True,2010-01-04,2026-05-29,True
ORCL,0.532347,True,2010-01-04,2026-05-29,True
CVX,0.528384,True,2010-01-04,2026-05-29,True
PG,0.52244,True,2010-01-04,2026-05-29,True
BAC,0.518814,True,2010-01-04,2026-05-29,True
GE,0.518397,True,2010-01-04,2026-05-29,True
HD,0.49266,True,2010-01-04,2026-05-29,True
KO,0.479596,True,2010-01-04,2026-05-29,True
GS,0.465857,True,2010-01-04,2026-05-29,True
MRK,0.458229,True,2010-01-04,2026-05-29,True
TXN,0.441649,True,2010-01-04,2026-05-29,True
PM,0.428224,True,2010-01-04,2026-05-29,True
QCOM,0.399765,True,2010-01-04,2026-05-29,True
KLAC,0.389142,True,2010-01-04,2026-05-29,True
IBM,0.380466,True,2010-01-04,2026-05-29,True
MS,0.377651,True,2010-01-04,2026-05-29,True
RTX,0.370073,True,2010-01-04,2026-05-29,True
WFC,0.365166,True,2010-01-04,2026-05-29,True
LIN,0.361095,True,2010-01-04,2026-05-29,True
C,0.335597,True,2010-01-04,2026-05-29,True
ADI,0.315311,True,2010-01-04,2026-05-29,True
VZ,0.311863,True,2010-01-04,2026-05-29,True
PEP,0.307965,True,2010-01-04,2026-05-29,True
MCD,0.304935,True,2010-01-04,2026-05-29,True
STX,0.295786,True,2010-01-04,2026-05-29,True
DIS,0.283031,True,2010-01-04,2026-05-29,True
TMO,0.281942,True,2010-01-04,2026-05-29,True
NEE,0.279886,True,2010-01-04,2026-05-29,True
APH,0.279769,True,2010-01-04,2026-05-29,True
AMGN,0.279078,True,2010-01-04,2026-05-29,True
WDC,0.277261,True,2010-01-04,2026-05-29,True
BA,0.277096,True,2010-01-04,2026-05-29,True
T,0.268285,True,2010-01-04,2026-05-29,True
TJX,0.264918,True,2010-01-04,2026-05-29,True
GILD,0.260307,True,2010-01-04,2026-05-29,True
AXP,0.259921,True,2010-01-04,2026-05-29,True
CRM,0.254258,True,2010-01-04,2026-05-29,True
UNP,0.242631,True,2010-01-04,2026-05-29,True
ETN,0.240322,True,2010-01-04,2026-05-29,True
BLK,0.232548,True,2010-01-04,2026-05-29,True
ISRG,0.23177,True,2010-01-04,2026-05-29,True
ABT,0.231141,True,2010-01-04,2026-05-29,True
PFE,0.228781,True,2010-01-04,2026-05-29,True
HON,0.227809,True,2010-01-04,2026-05-29,True
WELL,0.226145,True,2010-01-04,2026-05-29,True
GLW,0.219523,True,2010-01-04,2026-05-29,True
SCHW,0.219453,True,2010-01-04,2026-05-29,True
COP,0.216973,True,2010-01-04,2026-05-29,True
BKNG,0.211094,True,2010-01-04,2026-05-29,True
DE,0.209601,True,2010-01-04,2026-05-29,True
PLD,0.208466,True,2010-01-04,2026-05-29,True
SPGI,0.196361,True,2010-01-04,2026-05-29,True
LOW,0.188582,True,2010-01-04,2026-05-29,True
MO,0.185936,True,2010-01-04,2026-05-29,True
NEM,0.182226,True,2010-01-04,2026-05-29,True
CVS,0.182208,True,2010-01-04,2026-05-29,True
COF,0.180004,True,2010-01-04,2026-05-29,True
BMY,0.17874,True,2010-01-04,2026-05-29,True
CB,0.177111,True,2010-01-04,2026-05-29,True
SBUX,0.176716,True,2010-01-04,2026-05-29,True
PGR,0.175956,True,2010-01-04,2026-05-29,True
DHR,0.175217,True,2010-01-04,2026-05-29,True
VRTX,0.175098,True,2010-01-04,2026-05-29,True
ACN,0.169034,True,2010-01-04,2026-05-29,True
PWR,0.167547,True,2010-01-04,2026-05-29,True
LMT,0.167509,True,2010-01-04,2026-05-29,True
PH,0.165694,True,2010-01-04,2026-05-29,True
SYK,0.163333,True,2010-01-04,2026-05-29,True
EQIX,0.161856,True,2010-01-04,2026-05-29,True
CDNS,0.15702,True,2010-01-04,2026-05-29,True
SO,0.156843,True,2010-01-04,2026-05-29,True
TT,0.15411,True,2010-01-04,2026-05-29,True
CME,0.154035,True,2010-01-04,2026-05-29,True
ADBE,0.152593,True,2010-01-04,2026-05-29,True
MDT,0.149169,True,2010-01-04,2026-05-29,True
BNY,0.148883,True,2010-01-04,2026-05-29,True
